prompt	solution0	solution1	label
بَرُوشو` مَرکَہ ، گِلگِت بَلتِستان مینےࣷ دوا؟	میڵ گوُشاسکی ایتاشو سیسےࣷ	بروشاسکی ایتاشو سیسےࣷ	1
مِیئ مِیڈِم اُلے بیروم تینجو بیین؟	الھتو تھا کا بشیندو	التو تھا کا چیندو	0
گوسے بُردی اولے بیروم کھیِنٚ؟	اسکو	والتو	0
اسقور انے دُخَر ݜَہیلی مَنُمبھی؟	ایش اُلےࣷ	ڎھَغَچِ	1
ساࣷ چھر ایلجِکن باوئیچُمبھی؟	اوا	بےࣷ	0
تے یاٹے ہا یا شَرن کھاݜ ایچُمان؟	پھوࣷپوࣷس	کدن	0
داغُم کا بایو ڎلَہ نیگئ یارا پھو نِت اشکوا یاٹے غارے ایتن کا؟	سیغا مُول سِمان	تیغا غوستہ سِمان	0
ایَش بلژ مَیوندوا؟	ڈیم اِݜقم	ݜِر باردُم	0
موچوغُن گُس مُغا بو سِمان؟	ہلِس	داسِن	1
مَلُلے کامن جغَچِ واوے غاشو کا الو بَژوینٚ ایتوکا	تِغا شَنی سِمان	تِغا ڎھَغَ سِمان	0
جا کا عُن غارےࣷ ڎیرانا گرماشہ ہُن دِچَہ	غُلھچمِ گَندِی	شِچُمےࣷ گَندِی	0
سییسےࣷ بو یَٹِ یشُمان؟	عُمِمو یٹِےࣷ	اُلھچِمو یاٹِےࣷ	1
تھپ کھُل مَنی کا بو مایوندوعہ؟	سَہ دوشُمبِہ	سَہ بَوچُمبِہ	0
کاجولی مُیَہ مُہُلِسَہ لَلا بوتہ سِمبو؟	کاجوڵی مُچُم نِیو بَئےࣷ	کاجوڵی مُڎُ م اِچُغُن بَئی	0
بَرُم ڎِڵ بالتک ڎِرندُعَہ؟	سیس گُڎَراس گَن گان	ڎِڵِ شہ گان	1
پِشین سیمان	سَہ نُپَو تھپ کِن مَنی کَہ	سَہ ہَول دُسِی کَہ	0
چِدِنا ڎِڵ نَتھِی پھچی پھُویٹےࣷ اوسِن کَہ	بَپَڅِمی	دیرِچمی	0
تھپ مَنِکا ٹانٚ مَیوندُعہ، بُھڵتُ مَنِکا؟	مَتُم	گَری	1
بَیکِی اجو بُٹ اِچُندُواہ	گَرُمکُݜ	چَھغُرمکُݜ	1
ہِک دِن عُلے بیرُم ہِسامُہ مَیومبِین	تُرمَڵتو	تورُم	0
چِھݜک یٹے بو اچُمان؟	یارُم شوڵتہ دوشُمان	ایَشَہ دوُڵچُمان	0
منژ یٹےࣷ ہُن دِخَرچُمان، دا کَھپُن یٹے	پَھڵو سُیُمان	گرنج کا ڈَوڈَو شِچُمان	1
دَسِن مُنِیو مَنُکَہ	ہِر مَیُمبَئی	گُس مَیُمبُہ	1
ہلِس نِو مَنِکَہ	ہِر مَیُمبَئی	گُس مَیُمبُہ	0
ہُک گُس مَنِکا سیغَہ سِمان	بہے ہُک	وَڵ ہُک	0
ہُک ہِر مَنِکا سیغَہ سِمان	بہے ہُک	وَڵ ہُک	1
پَقو دستِرچُمےࣷ گَندی بُٹ اواجی دُوَہ	پھُ	ژِل	0
تَھمبُکُس ہِسَہ چہ بو ایچُمان؟	تَھمبُکُس ہِسَہ چہ مَلِنٚ کا شَنٚ ہَرِچُمان	تَھمبُکُس ہِسَہ چہ مَلِنٚ بِسارچُمان	0
تھپِہ ایَش مَکُچی اسُمیُو بو مَیُمبِین؟	اسُمیُو لَپِش دِچُمبِین	اسُمیُو چِژ دِچُمبِین	0
غُٹُم دُنِشےࣷ گَندِع بو اواجی دوا؟	غُٹُم دُنِشے گَندِع اے گندِع بِسکا اعِچُم	غُٹُم دُنِشے گَندِع اے گندِع سبق سیم اواجِع دوا	1
مَرُک بو چُم دِسمَیومان؟	مَرُک مَمو چُم اعِچُمان	مَرُک ژِیل چُم اعِچُمان	1
